date,china_gdp_growth,china_industrial_output,world_gdp_growth,eu_gdp_growth
2020-11-22,7.889222104244741,7.54574986880216,5.3955821051694635,5.071014543861214
2020-11-23,7.906243679930203,7.562351897298095,5.4210262929257205,5.103682933739929
2020-11-24,7.923265255615664,7.57895392579403,5.4464704806819775,5.136351323618644
2020-11-25,7.940286831301126,7.595555954289965,5.4719146684382345,5.1690197134973594
2020-11-26,7.957308406986588,7.6121579827859005,5.49735885619449,5.201688103376075
2020-11-27,7.9743299826720495,7.628760011281836,5.522803043950747,5.234356493254788
2020-11-28,7.991351558357513,7.645362039777773,5.548247231707004,5.267024883133503
2020-11-29,8.008373134042975,7.661964068273708,5.573691419463261,5.299693273012219
2020-11-30,8.025394709728436,7.678566096769643,5.599135607219518,5.332361662890934
2020-12-01,8.042416285413898,7.695168125265578,5.624579794975773,5.365030052769649
2020-12-02,8.05943786109936,7.711770153761513,5.65002398273203,5.3976984426483625
2020-12-03,8.076459436784821,7.72837218225745,5.675468170488287,5.430366832527078
2020-12-04,8.093481012470285,7.744974210753385,5.700912358244544,5.463035222405793
2020-12-05,8.110502588155747,7.761576239249321,5.726356546000801,5.495703612284508
2020-12-06,8.127524163841208,7.778178267745256,5.751800733757056,5.528372002163223
2020-12-07,8.14454573952667,7.794780296241191,5.777244921513313,5.561040392041939
2020-12-08,8.161567315212132,7.811382324737126,5.80268910926957,5.593708781920652
2020-12-09,8.178588890897593,7.827984353233063,5.828133297025827,5.626377171799367
2020-12-10,8.195610466583055,7.844586381728998,5.8535774847820825,5.659045561678083
2020-12-11,8.212632042268519,7.861188410224933,5.8790216725383395,5.691713951556798
2020-12-12,8.22965361795398,7.877790438720869,5.9044658602945965,5.724382341435513
2020-12-13,8.246675193639442,7.894392467216804,5.9299100480508535,5.7570507313142265
2020-12-14,8.263696769324904,7.910994495712741,5.9553542358071105,5.789719121192942
2020-12-15,8.280718345010365,7.927596524208676,5.980798423563366,5.822387511071657
2020-12-16,8.297739920695827,7.944198552704611,6.006242611319623,5.855055900950372
2020-12-17,8.314761496381289,7.960800581200546,6.03168679907588,5.887724290829087
2020-12-18,8.331783072066752,7.977402609696481,6.057130986832137,5.920392680707801
2020-12-19,8.348804647752214,7.994004638192417,6.082575174588394,5.953061070586516
2020-12-20,8.365826223437676,8.010606666688354,6.108019362344649,5.985729460465231
2020-12-21,8.382847799123137,8.027208695184289,6.133463550100906,6.018397850343947
2020-12-22,8.399869374808599,8.043810723680224,6.158907737857163,6.051066240222662
2020-12-23,8.41689095049406,8.060412752176159,6.18435192561342,6.083734630101375
2020-12-24,8.433912526179524,8.077014780672094,6.209796113369677,6.1164030199800905
2020-12-25,8.450934101864986,8.09361680916803,6.235240301125932,6.149071409858806
2020-12-26,8.467955677550448,8.110218837663966,6.260684488882189,6.181739799737521
2020-12-27,8.48497725323591,8.126820866159902,6.286128676638446,6.214408189616236
2020-12-28,8.501998828921371,8.143422894655837,6.311572864394703,6.24707657949495
2020-12-29,8.519020404606833,8.160024923151772,6.33701705215096,6.279744969373665
2020-12-30,8.536041980292294,8.176626951647707,6.362461239907216,6.31241335925238
2020-12-31,8.553063555977758,8.193228980143644,6.387905427663473,6.345081749131095
2021-01-01,8.57008513166322,8.20983100863958,6.41334961541973,6.37775013900981
2021-01-02,8.555192265198272,8.193641664581845,6.405102232466439,6.370034528580883
2021-01-03,8.540299398733326,8.177452320524111,6.39685484951315,6.3623189181519555
2021-01-04,8.525406532268379,8.161262976466377,6.38860746655986,6.3546033077230275
2021-01-05,8.510513665803433,8.145073632408643,6.38036008360657,6.3468876972941
2021-01-06,8.495620799338486,8.128884288350909,6.37211270065328,6.339172086865173
2021-01-07,8.48072793287354,8.112694944293176,6.36386531769999,6.331456476436246
2021-01-08,8.465835066408593,8.096505600235442,6.3556179347467,6.323740866007318
2021-01-09,8.450942199943647,8.080316256177708,6.347370551793411,6.316025255578391
2021-01-10,8.4360493334787,8.064126912119974,6.33912316884012,6.308309645149464
2021-01-11,8.421156467013754,8.04793756806224,6.33087578588683,6.300594034720537
2021-01-12,8.406263600548806,8.031748224004506,6.322628402933541,6.292878424291609
2021-01-13,8.39137073408386,8.015558879946772,6.31438101998025,6.285162813862682
2021-01-14,8.376477867618913,7.999369535889039,6.306133637026961,6.277447203433755
2021-01-15,8.361585001153967,7.983180191831305,6.297886254073671,6.269731593004828
2021-01-16,8.34669213468902,7.9669908477735705,6.289638871120381,6.2620159825759
2021-01-17,8.331799268224074,7.950801503715836,6.281391488167091,6.2543003721469725
2021-01-18,8.316906401759127,7.934612159658102,6.273144105213801,6.246584761718045
2021-01-19,8.302013535294181,7.918422815600369,6.264896722260511,6.238869151289118
2021-01-20,8.287120668829234,7.902233471542635,6.256649339307221,6.23115354086019
